Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction
269,100,3.0,20,0.55,0.45
270,100,3.0,20,0.55,0.45
271,100,3.0,20,0.55,0.45
272,100,3.0,20,0.55,0.45
273,100,3.0,20,0.55,0.45
274,100,3.0,20,0.55,0.45
275,100,3.0,20,0.55,0.45
276,100,3.0,20,0.55,0.45
277,100,3.0,20,0.55,0.45
278,100,3.0,20,0.55,0.45
279,100,3.0,20,0.55,0.45
280,100,3.0,20,0.5,0.5
281,100,3.0,20,0.5,0.5
282,100,3.0,20,0.5,0.5
283,100,3.0,20,0.5,0.5
284,100,3.0,20,0.5,0.5
285,100,3.0,20,0.5,0.5
286,100,3.0,20,0.5,0.5
287,100,3.0,20,0.5,0.5
288,100,3.0,20,0.5,0.5
289,100,3.0,20,0.5,0.5
290,100,3.0,20,0.5,0.5
291,100,3.0,20,0.5,0.5
292,100,3.0,20,0.5,0.5
293,100,3.0,20,0.5,0.5
294,100,3.0,20,0.5,0.5
295,100,3.0,20,0.5,0.5
296,100,3.0,20,0.5,0.5
297,100,3.0,20,0.5,0.5
298,100,3.0,20,0.5,0.5
299,100,3.0,20,0.5,0.5
300,100,3.0,20,0.45,0.55
301,100,3.0,20,0.45,0.55
302,100,3.0,20,0.45,0.55
303,100,3.0,20,0.45,0.55
304,100,3.0,20,0.45,0.55
305,100,3.0,20,0.45,0.55
306,100,3.0,20,0.45,0.55
307,100,3.0,20,0.45,0.55
308,100,3.0,20,0.45,0.55
309,100,3.0,20,0.45,0.55
310,100,3.0,20,0.45,0.55
311,100,3.0,20,0.45,0.55
312,100,3.0,20,0.45,0.55
313,100,3.0,20,0.45,0.55
314,100,3.0,20,0.45,0.55
315,100,3.0,20,0.45,0.55
316,100,3.0,20,0.45,0.55
317,100,3.0,20,0.45,0.55
318,100,3.0,20,0.45,0.55
319,100,3.0,20,0.45,0.55
320,100,3.0,20,0.45,0.55
321,100,3.0,20,0.45,0.55
322,100,3.0,20,0.45,0.55
323,100,3.0,20,0.45,0.55
324,100,3.0,20,0.45,0.55
325,100,3.0,20,0.45,0.55
326,100,3.0,20,0.45,0.55
327,100,3.0,20,0.45,0.55
328,100,3.0,20,0.45,0.55
329,100,3.0,20,0.45,0.55
330,100,3.0,20,0.45,0.55
331,100,3.0,20,0.45,0.55
332,100,3.0,20,0.45,0.55
333,100,3.0,20,0.45,0.55
334,100,3.0,20,0.45,0.55
335,100,3.0,20,0.45,0.55
336,100,3.0,20,0.45,0.55
337,100,3.0,20,0.45,0.55
338,100,3.0,20,0.45,0.55
339,100,3.0,20,0.45,0.55
340,100,3.0,20,0.45,0.55
341,100,3.0,20,0.45,0.55
342,100,3.0,20,0.45,0.55
343,100,3.0,20,0.45,0.55
344,100,3.0,20,0.5,0.5
345,100,3.0,20,0.45,0.55
346,100,3.0,20,0.45,0.55
347,100,3.0,20,0.45,0.55
348,100,3.0,20,0.45,0.55
349,100,3.0,20,0.45,0.55
350,100,3.0,20,0.45,0.55
351,100,3.0,20,0.45,0.55
352,100,3.0,20,0.45,0.55
353,100,3.0,20,0.45,0.55
354,100,3.0,20,0.5,0.5
355,100,3.0,20,0.5,0.5
356,100,3.0,20,0.5,0.5
357,100,3.0,20,0.5,0.5
358,100,3.0,20,0.5,0.5
359,100,3.0,20,0.5,0.5
360,100,3.0,20,0.5,0.5
361,100,3.0,20,0.5,0.5
362,100,3.0,20,0.5,0.5
363,100,3.0,20,0.5,0.5
364,100,3.0,20,0.5,0.5
365,100,3.0,20,0.5,0.5
366,100,3.0,20,0.5,0.5
367,100,3.0,20,0.5,0.5
368,100,3.0,20,0.5,0.5
369,100,3.0,20,0.5,0.5
370,100,3.0,20,0.5,0.5
371,100,3.0,20,0.5,0.5
372,100,3.0,20,0.5,0.5
373,100,3.0,20,0.45,0.55
374,100,3.0,20,0.45,0.55
375,100,3.0,20,0.45,0.55
376,100,3.0,20,0.45,0.55
