Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction,With_Catalysis
282,100,3.0,20,0.0,1.0,True
283,100,3.0,20,0.0,1.0,True
284,100,3.0,20,0.0,1.0,True
285,100,3.0,20,0.0,1.0,True
286,100,3.0,20,0.0,1.0,True
287,100,3.0,20,0.0,1.0,True
288,100,3.0,20,0.0,1.0,True
289,100,3.0,20,0.0,1.0,True
290,100,3.0,20,0.0,1.0,True
291,100,3.0,20,0.0,1.0,True
292,100,3.0,20,0.0,1.0,True
293,100,3.0,20,0.0,1.0,True
294,100,3.0,20,0.0,1.0,True
295,100,3.0,20,0.0,1.0,True
296,100,3.0,20,0.0,1.0,True
297,100,3.0,20,0.0,1.0,True
298,100,3.0,20,0.0,1.0,True
299,100,3.0,20,0.0,1.0,True
300,100,3.0,20,0.0,1.0,True
301,100,3.0,20,0.0,1.0,True
302,100,3.0,20,0.0,1.0,True
303,100,3.0,20,0.0,1.0,True
304,100,3.0,20,0.0,1.0,True
305,100,3.0,20,0.0,1.0,True
306,100,3.0,20,0.0,1.0,True
307,100,3.0,20,0.0,1.0,True
308,100,3.0,20,0.0,1.0,True
309,100,3.0,20,0.0,1.0,True
310,100,3.0,20,0.0,1.0,True
311,100,3.0,20,0.0,1.0,True
312,100,3.0,20,0.0,1.0,True
313,100,3.0,20,0.0,1.0,True
314,100,3.0,20,0.0,1.0,True
315,100,3.0,20,0.0,1.0,True
316,100,3.0,20,0.0,1.0,True
317,100,3.0,20,0.0,1.0,True
318,100,3.0,20,0.0,1.0,True
319,100,3.0,20,0.0,1.0,True
320,100,3.0,20,0.0,1.0,True
321,100,3.0,20,0.0,1.0,True
322,100,3.0,20,0.0,1.0,True
323,100,3.0,20,0.0,1.0,True
324,100,3.0,20,0.0,1.0,True
325,100,3.0,20,0.0,1.0,True
326,100,3.0,20,0.0,1.0,True
327,100,3.0,20,0.0,1.0,True
328,100,3.0,20,0.0,1.0,True
329,100,3.0,20,0.0,1.0,True
330,100,3.0,20,0.0,1.0,True
331,100,3.0,20,0.0,1.0,True
332,100,3.0,20,0.0,1.0,True
333,100,3.0,20,0.0,1.0,True
334,100,3.0,20,0.0,1.0,True
335,100,3.0,20,0.0,1.0,True
336,100,3.0,20,0.0,1.0,True
337,100,3.0,20,0.0,1.0,True
338,100,3.0,20,0.0,1.0,True
339,100,3.0,20,0.0,1.0,True
340,100,3.0,20,0.0,1.0,True
341,100,3.0,20,0.0,1.0,True
342,100,3.0,20,0.0,1.0,True
343,100,3.0,20,0.0,1.0,True
344,100,3.0,20,0.0,1.0,True
345,100,3.0,20,0.0,1.0,True
346,100,3.0,20,0.0,1.0,True
347,100,3.0,20,0.0,1.0,True
348,100,3.0,20,0.0,1.0,True
349,100,3.0,20,0.0,1.0,True
350,100,3.0,20,0.0,1.0,True
351,100,3.0,20,0.0,1.0,True
352,100,3.0,20,0.0,1.0,True
353,100,3.0,20,0.0,1.0,True
354,100,3.0,20,0.0,1.0,True
355,100,3.0,20,0.0,1.0,True
356,100,3.0,20,0.0,1.0,True
357,100,3.0,20,0.0,1.0,True
358,100,3.0,20,0.0,1.0,True
359,100,3.0,20,0.0,1.0,True
360,100,3.0,20,0.0,1.0,True
361,100,3.0,20,0.0,1.0,True
362,100,3.0,20,0.0,1.0,True
363,100,3.0,20,0.0,1.0,True
364,100,3.0,20,0.0,1.0,True
365,100,3.0,20,0.0,1.0,True
366,100,3.0,20,0.0,1.0,True
367,100,3.0,20,0.0,1.0,True
368,100,3.0,20,0.0,1.0,True
369,100,3.0,20,0.0,1.0,True
370,100,3.0,20,0.0,1.0,True
371,100,3.0,20,0.0,1.0,True
372,100,3.0,20,0.0,1.0,True
373,100,3.0,20,0.0,1.0,True
374,100,3.0,20,0.0,1.0,True
375,100,3.0,20,0.0,1.0,True
376,100,3.0,20,0.0,1.0,True
377,100,3.0,20,0.0,1.0,True
378,100,3.0,20,0.0,1.0,True
379,100,3.0,20,0.0,1.0,True
380,100,3.0,20,0.0,1.0,True
381,100,3.0,20,0.0,1.0,True
382,100,3.0,20,0.0,1.0,True
383,100,3.0,20,0.0,1.0,True
384,100,3.0,20,0.0,1.0,True
385,100,3.0,20,0.0,1.0,True
386,100,3.0,20,0.0,1.0,True
387,100,3.0,20,0.0,1.0,True
388,100,3.0,20,0.0,1.0,True
389,100,3.0,20,0.0,1.0,True
